station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,sknt,mslp,p01m,p01i,gust,skyc1,skyl1,romps_LCL_m,lcl_estimate
OGD,2023-03-07 14:53,19.0,-7.22,12.9,-10.61,76.72,12.24,4.0,1021.8,0.0,0.0,,FEW,12000.0,525.1737759540665,423.74999999999994
CDC,2023-03-07 14:53,26.1,-3.28,23.0,-5.0,87.87,20.53,4.0,1018.6,0.0,0.0,,FEW,500.0,265.47134987615686,215.00000000000003
PUC,2023-03-07 14:53,28.9,-1.72,18.0,-7.78,63.31,28.9,0.0,1019.4,0.0,0.0,,OVC,7000.0,773.1027998892073,757.5000000000001
VEL,2023-03-07 14:53,21.9,-5.61,21.0,-6.11,96.26,15.63,4.0,1022.5,0.0001,0.0001,,BKN,2800.0,150.1065080188841,62.5
CNY,2023-03-07 14:53,28.0,-2.22,21.0,-6.11,74.67,28.0,0.0,1017.4,0.0,0.0,,CLR,,515.6145403482955,486.25
SLC,2023-03-07 14:54,28.0,-2.22,24.1,-4.39,85.08,22.75,4.0,1020.5,0.0,0.0,,BKN,3400.0,304.1286401103535,271.24999999999994
HIF,2023-03-07 14:55,21.7,-5.72,16.2,-8.78,79.01,10.05,10.0,1020.9,0.0,0.0,,SCT,10000.0,464.14910792890106,382.49999999999994
ENV,2023-03-07 14:56,24.1,-4.39,21.9,-5.61,91.17,24.1,0.0,1022.9,0.0,0.0,,OVC,3700.0,220.67024216172538,152.50000000000009
PVU,2023-03-07 14:56,28.9,-1.72,27.0,-2.78,92.49,28.9,0.0,1021.3,0.0,0.0,,SCT,1300.0,159.28014227503328,132.49999999999997
SGU,2023-03-07 14:56,39.0,3.89,30.9,-0.61,72.45,39.0,0.0,1018.4,0.0,0.0,,SCT,6000.0,559.9362077053403,562.5
DPG,2023-03-07 15:00,27.9,-2.28,24.8,-4.0,87.96,27.9,2.0,1021.2,0.0001,0.0001,,FEW,800.0,250.32734252434335,215.00000000000003
LGU,2023-03-07 15:51,3.0,-16.11,1.9,-16.72,95.03,-4.46,3.0,1026.3,0.0,0.0,,CLR,,302.15778173096186,76.24999999999993
MLF,2023-03-07 15:52,28.0,-2.22,24.1,-4.39,85.08,21.64,5.0,1020.5,0.0,0.0,,OVC,1000.0,304.1286401103535,271.24999999999994
BCE,2023-03-07 15:53,17.1,-8.28,10.9,-11.72,76.2,17.1,0.0,1019.5,0.0,0.0,,CLR,,545.8927009750169,430.00000000000017
CDC,2023-03-07 15:53,27.0,-2.78,24.1,-4.39,88.65,27.0,0.0,1019.5,0.0,0.0,,OVC,800.0,244.3201179426989,201.24999999999997
VEL,2023-03-07 15:53,23.0,-5.0,21.0,-6.11,91.9,18.4,3.0,1022.3,0.0001,0.0001,,BKN,2600.0,216.12555181354364,138.75000000000003
CNY,2023-03-07 15:53,37.0,2.78,23.0,-5.0,56.57,37.0,0.0,1016.7,0.0,0.0,,CLR,,961.1519738473379,972.4999999999999
OGD,2023-03-07 15:53,21.9,-5.61,14.0,-10.0,71.18,21.9,0.0,1021.6,0.0,0.0,,CLR,,624.650634187196,548.75
PUC,2023-03-07 15:53,28.9,-1.72,19.0,-7.22,66.08,25.14,3.0,1019.7,0.0,0.0,,OVC,7000.0,705.497330509707,687.5
SLC,2023-03-07 15:54,30.0,-1.11,25.0,-3.89,81.4,25.08,4.0,1020.8,0.0,0.0,,FEW,3500.0,362.4372489296717,347.50000000000006
HIF,2023-03-07 15:55,23.2,-4.89,16.3,-8.72,74.5,13.27,8.0,1020.9,0.0,0.0,,FEW,10000.0,547.1200121887942,478.7500000000001
PVU,2023-03-07 15:56,32.0,0.0,28.9,-1.72,88.17,32.0,0.0,1021.2,0.0,0.0,,FEW,1200.0,214.48080224939858,215.0
SGU,2023-03-07 15:56,42.0,5.56,30.0,-1.11,61.94,42.1,0.0,1018.7,0.0,0.0,,CLR,,834.5621955527095,833.75
ENV,2023-03-07 15:56,27.0,-2.78,21.0,-6.11,77.8,21.58,4.0,1023.1,0.0,0.0,,OVC,3700.0,455.9237807394663,416.25000000000006
DPG,2023-03-07 16:00,29.1,-1.61,24.4,-4.22,82.36,29.1,2.0,1021.7,0.0001,0.0001,,FEW,1000.0,349.49928489712136,326.24999999999994
LGU,2023-03-07 16:51,8.1,-13.28,7.0,-13.89,95.15,1.37,3.0,1026.0,0.0001,0.0001,,CLR,,267.85279584614244,76.25000000000016
MLF,2023-03-07 16:52,28.9,-1.72,25.0,-3.89,85.14,28.9,0.0,1020.6,0.0,0.0,,OVC,1000.0,296.40531137456213,271.25
BCE,2023-03-07 16:53,25.0,-3.89,16.0,-8.89,68.2,19.25,4.0,1018.1,0.0,0.0,,CLR,,675.2541444565132,625.0
OGD,2023-03-07 16:53,26.1,-3.28,17.1,-8.28,68.34,21.94,3.0,1021.5,0.0,0.0,,BKN,3800.0,666.564610544502,625.0
CDC,2023-03-07 16:53,30.0,-1.11,25.0,-3.89,81.4,24.02,5.0,1019.1,0.0,0.0,,BKN,1000.0,362.4387934810715,347.50000000000006
PUC,2023-03-07 16:53,30.0,-1.11,19.0,-7.22,63.18,30.0,0.0,1019.3,0.0,0.0,,BKN,7000.0,771.3062531849916,763.7499999999999
VEL,2023-03-07 16:53,26.1,-3.28,23.0,-5.0,87.87,26.1,0.0,1022.1,0.0001,0.0001,,BKN,3600.0,265.4692557309449,215.00000000000003
CNY,2023-03-07 16:53,41.0,5.0,24.1,-4.39,50.67,38.98,3.0,1016.9,0.0,0.0,,CLR,,1160.233316846809,1173.75
SLC,2023-03-07 16:54,33.0,0.56,24.1,-4.39,69.17,29.95,3.0,1020.9,0.0,0.0,,FEW,2500.0,618.9048058507678,618.7499999999999
HIF,2023-03-07 16:55,25.5,-3.61,17.1,-8.28,70.06,16.11,8.0,1021.3,0.0,0.0,,SCT,3500.0,630.6832802783545,583.75
PVU,2023-03-07 16:56,33.0,0.56,28.0,-2.22,81.3,26.86,6.0,1021.7,0.0,0.0,,FEW,1700.0,351.99348491044833,347.50000000000006
SGU,2023-03-07 16:56,46.0,7.78,30.0,-1.11,53.37,46.0,0.0,1018.7,0.0,0.0,,SCT,6000.0,1102.9948091737322,1111.25
ENV,2023-03-07 16:56,33.0,0.56,28.0,-2.22,81.3,29.95,3.0,1022.9,0.0,0.0,,BKN,1400.0,351.9922821744323,347.50000000000006
DPG,2023-03-07 17:00,30.7,-0.72,25.5,-3.61,80.78,27.2,3.0,1021.6,0.0,0.0,,FEW,1200.0,370.12399870613524,361.24999999999994
LGU,2023-03-07 17:51,10.9,-11.72,8.1,-13.28,88.21,10.9,0.0,1025.8,0.0001,0.0001,,CLR,,362.1925826648326,194.99999999999983
MLF,2023-03-07 17:52,30.9,-0.61,25.0,-3.89,78.48,25.09,5.0,1020.6,0.0,0.0,,BKN,1200.0,416.3435323825135,410.00000000000006
BCE,2023-03-07 17:53,28.9,-1.72,19.0,-7.22,66.08,28.9,0.0,1016.9,0.0,0.0,,CLR,,705.5011567005604,687.5
OGD,2023-03-07 17:53,30.0,-1.11,18.0,-7.78,60.53,24.02,5.0,1021.0,0.0,0.0,,OVC,4100.0,838.9249687806027,833.75
CDC,2023-03-07 17:53,34.0,1.11,27.0,-2.78,75.26,29.76,4.0,1018.4,0.0,0.0,,CLR,,482.79424277100213,486.24999999999994
VEL,2023-03-07 17:53,26.1,-3.28,19.9,-6.72,77.06,20.53,4.0,1022.0,0.0,0.0,,FEW,3600.0,476.8181047783183,430.0
CNY,2023-03-07 17:53,45.0,7.22,23.0,-5.0,41.5,41.83,5.0,1016.6,0.0,0.0,,CLR,,1507.5254841835333,1527.4999999999998
PUC,2023-03-07 17:53,35.0,1.67,17.1,-8.28,47.43,35.1,0.0,1018.5,0.0,0.0,,OVC,6000.0,1229.575880624659,1243.75
SLC,2023-03-07 17:54,36.0,2.22,26.1,-3.28,66.97,33.26,3.0,1020.5,0.0,0.0,,FEW,4000.0,681.7855442215891,687.5
HIF,2023-03-07 17:55,30.2,-1.0,18.3,-7.61,60.82,30.2,0.0,1020.5,0.0,0.0,,FEW,2500.0,830.5554722501687,826.25
ENV,2023-03-07 17:56,30.9,-0.61,23.0,-5.0,72.18,30.9,0.0,1023.1,0.0,0.0,,BKN,1800.0,553.062519192055,548.75
SGU,2023-03-07 17:56,48.0,8.89,30.0,-1.11,49.49,48.0,0.0,1018.3,0.0,0.0,,CLR,,1240.4135757366173,1250.0
PVU,2023-03-07 17:56,33.0,0.56,27.0,-2.78,78.03,27.7,5.0,1021.8,0.0,0.0,,SCT,1800.0,420.44028105622243,417.5
HIF,2023-03-07 18:00,30.2,-1.0,19.4,-7.0,63.75,30.2,0.0,1020.5,0.0,0.0,,FEW,2500.0,756.1435649670658,750.0
LGU,2023-03-07 18:51,16.0,-8.89,10.9,-11.72,79.92,10.4,3.0,1025.7,0.0,0.0,,CLR,,479.9528759472932,353.75
MLF,2023-03-07 18:52,32.0,0.0,25.0,-3.89,75.07,26.4,5.0,1020.2,0.0,0.0,,FEW,1400.0,482.1825087212036,486.25
BCE,2023-03-07 18:53,34.0,1.11,19.9,-6.72,55.88,,,1015.9,0.0,0.0,,,,966.2637193476447,978.75
OGD,2023-03-07 18:53,32.0,0.0,19.0,-7.22,58.27,28.69,3.0,1020.8,0.0,0.0,,CLR,,890.6954178562415,902.5
CDC,2023-03-07 18:53,39.0,3.89,28.0,-2.22,64.37,36.69,3.0,1017.5,0.0,0.0,,CLR,,758.2736113302074,763.75
PUC,2023-03-07 18:53,38.0,3.33,17.1,-8.28,42.46,37.9,0.0,1018.1,0.0,0.0,,BKN,5500.0,1421.3196492889476,1451.25
VEL,2023-03-07 18:53,30.0,-1.11,21.0,-6.11,68.81,30.0,0.0,1021.5,0.0,0.0,,OVC,4000.0,635.3020394539021,625.0
CNY,2023-03-07 18:53,46.0,7.78,19.9,-6.72,35.04,41.84,7.0,1015.8,0.0,0.0,,CLR,,1783.4005559138245,1812.5
SLC,2023-03-07 18:54,36.0,2.22,25.0,-3.89,63.98,33.26,3.0,1020.5,0.0,0.0,,SCT,2400.0,756.7751597065323,763.75
HIF,2023-03-07 18:55,33.0,0.56,19.8,-6.78,58.15,32.9,0.0,1020.1,0.0,0.0,,SCT,3000.0,898.3579077916608,917.5
ENV,2023-03-07 18:56,32.0,0.0,25.0,-3.89,75.07,25.53,6.0,1022.8,0.0,0.0,,SCT,3100.0,482.1793417518604,486.25
PVU,2023-03-07 18:56,34.0,1.11,27.0,-2.78,75.26,28.77,5.0,1021.6,0.0,0.0,,FEW,7500.0,482.7899881654671,486.24999999999994
SGU,2023-03-07 18:56,51.0,10.56,28.9,-1.72,42.16,51.1,4.0,1017.6,0.0,0.0,,CLR,,1526.2553169105283,1535.0000000000002
DPG,2023-03-07 19:00,36.0,2.22,25.2,-3.78,64.52,36.0,2.0,1020.9,0.0,0.0,,BKN,3200.0,743.0145456611533,750.0
LGU,2023-03-07 19:51,19.0,-7.22,12.0,-11.11,73.73,12.24,4.0,1025.3,0.0,0.0,,CLR,,585.7548563786117,486.24999999999994
MLF,2023-03-07 19:52,34.0,1.11,26.1,-3.28,72.52,26.58,8.0,1019.5,0.0001,0.0001,,OVC,5000.0,544.2154232319614,548.75
VEL,2023-03-07 19:53,28.0,-2.22,23.0,-5.0,81.25,22.75,4.0,1021.4,0.0,0.0,,SCT,3900.0,379.24310011406095,347.5
CNY,2023-03-07 19:53,48.0,8.89,21.0,-6.11,34.05,44.28,7.0,1015.1,0.0,0.0,,CLR,,1845.828494794092,1875.0
OGD,2023-03-07 19:53,33.0,0.56,19.9,-6.72,57.93,25.47,8.0,1020.7,0.0,0.0,,CLR,,904.379896855663,909.9999999999999
PUC,2023-03-07 19:53,38.0,3.33,17.1,-8.28,42.46,34.31,4.0,1018.1,0.0,0.0,,OVC,6500.0,1421.3196492889476,1451.25
BCE,2023-03-07 19:53,33.0,0.56,21.9,-5.61,63.06,,,1015.9,0.0,0.0,,,,768.7411827499085,771.25
CDC,2023-03-07 19:53,42.0,5.56,27.0,-2.78,54.78,37.69,6.0,1016.7,0.0,0.0,,FEW,3300.0,1038.5307075111955,1042.5
SLC,2023-03-07 19:54,38.0,3.33,25.0,-3.89,59.36,35.43,3.0,1020.0,0.0,0.0,,SCT,3800.0,887.5803970204142,902.5000000000001
HIF,2023-03-07 19:55,32.5,0.28,20.1,-6.61,59.85,29.26,3.0,1020.1,0.0,0.0,,FEW,4000.0,850.2918684120601,861.2500000000001
ENV,2023-03-07 19:56,34.0,1.11,25.0,-3.89,69.28,28.77,5.0,1022.7,0.0,0.0,,OVC,2400.0,619.4280258507765,625.0
SGU,2023-03-07 19:56,53.0,11.67,28.0,-2.22,37.74,53.1,0.0,1016.8,0.0,0.0,,CLR,,1723.6672736623575,1736.25
PVU,2023-03-07 19:56,35.0,1.67,27.0,-2.78,72.04,28.56,7.0,1021.1,0.0,0.0,,SCT,1200.0,558.041430637745,556.2499999999999
DPG,2023-03-07 20:00,36.0,2.22,26.2,-3.22,66.98,32.21,4.0,1021.0,0.0,0.0,,BKN,3000.0,681.5386378376127,680.0
LGU,2023-03-07 20:51,19.9,-6.72,14.0,-10.0,77.48,14.86,3.0,1025.0,0.0,0.0,,CLR,,504.9919037119721,410.00000000000006
MLF,2023-03-07 20:52,35.0,1.67,27.0,-2.78,72.04,26.86,10.0,1018.6,0.0,0.0,,CLR,,558.0452598536274,556.2499999999999
BCE,2023-03-07 20:53,34.0,1.11,19.9,-6.72,55.88,26.0,9.0,1015.9,0.0,0.0,,CLR,,966.2637193476447,978.75
OGD,2023-03-07 20:53,32.0,0.0,19.0,-7.22,58.27,24.78,7.0,1021.0,0.0001,0.0001,,CLR,,890.695068820885,902.5
CDC,2023-03-07 20:53,43.0,6.11,28.0,-2.22,55.14,,,1016.1,0.0,0.0,,SCT,3900.0,1032.8356188808216,1041.25
PUC,2023-03-07 20:53,39.0,3.89,17.1,-8.28,40.67,,,1018.1,0.0,0.0,,BKN,4600.0,1495.4015478868375,1521.25
VEL,2023-03-07 20:53,27.0,-2.78,21.9,-5.61,80.83,22.97,3.0,1021.2,0.0,0.0,,SCT,7500.0,394.431207836275,353.75000000000006
CNY,2023-03-07 20:53,50.0,10.0,21.9,-5.61,32.83,50.0,6.0,1013.9,0.0,0.0,17.0,CLR,,1921.371641535001,1951.25
SLC,2023-03-07 20:54,38.0,3.33,24.1,-4.39,57.18,35.43,3.0,1019.7,0.0,0.0,,BKN,3800.0,948.5199756871796,965.0
HIF,2023-03-07 20:55,32.7,0.39,21.2,-6.0,62.21,25.63,7.0,1019.8,0.0,0.0,,FEW,3000.0,789.3215969095272,798.75
ENV,2023-03-07 20:56,34.0,1.11,25.0,-3.89,69.28,27.94,6.0,1021.8,0.0,0.0,,OVC,2600.0,619.4294319747003,625.0
PVU,2023-03-07 20:56,36.0,2.22,25.0,-3.89,63.98,29.04,8.0,1020.8,0.0,0.0,,BKN,8500.0,756.7745853998592,763.75
SGU,2023-03-07 20:56,55.0,12.78,28.0,-2.22,35.21,55.0,4.0,1015.8,0.0,0.0,,CLR,,1854.1082011509363,1875.0
DPG,2023-03-07 21:00,37.0,2.78,23.9,-4.5,58.97,33.14,4.0,1020.1,0.0,0.0,,BKN,3000.0,893.8833002006105,909.9999999999999
LGU,2023-03-07 21:51,19.9,-6.72,15.1,-9.39,81.3,19.9,0.0,1025.3,0.0,0.0,,CLR,,430.68458516053835,333.7500000000001
MLF,2023-03-07 21:52,37.0,2.78,27.0,-2.78,66.82,29.24,10.0,1018.0,0.0,0.0,,CLR,,688.9992810157888,695.0
CDC,2023-03-07 21:53,44.0,6.67,27.0,-2.78,50.73,42.52,3.0,1015.4,0.0,0.0,,CLR,,1175.6948594485684,1181.25
PUC,2023-03-07 21:53,38.0,3.33,15.1,-9.39,38.93,37.9,0.0,1018.1,0.0,0.0,,OVC,6000.0,1555.348074783666,1590.0
CNY,2023-03-07 21:53,52.0,11.11,21.9,-5.61,30.49,52.0,12.0,1013.8,0.0,0.0,,CLR,,2056.951294632803,2090.0
OGD,2023-03-07 21:53,34.0,1.11,19.9,-6.72,55.88,28.77,5.0,1020.2,0.0,0.0,,CLR,,966.2552105693957,978.75
VEL,2023-03-07 21:53,28.9,-1.72,21.9,-5.61,74.76,28.9,0.0,1021.0,0.0,0.0,,BKN,8500.0,508.22850056481883,486.25000000000006
BCE,2023-03-07 21:53,35.0,1.67,19.9,-6.72,53.49,26.38,11.0,1014.4,0.0,0.0,,CLR,,1040.6783657525584,1048.75
SLC,2023-03-07 21:54,39.0,3.89,25.0,-3.89,56.86,33.96,6.0,1019.3,0.0,0.0,,BKN,4100.0,962.4777156587146,972.5
HIF,2023-03-07 21:55,33.0,0.56,20.8,-6.22,60.68,28.47,4.0,1019.8,0.0,0.0,,FEW,4000.0,830.4515535888883,847.4999999999999
ENV,2023-03-07 21:56,37.0,2.78,27.0,-2.78,66.82,30.87,7.0,1021.3,0.0,0.0,,SCT,2500.0,688.9930140045719,695.0
PVU,2023-03-07 21:56,37.0,2.78,25.0,-3.89,61.5,31.55,6.0,1020.1,0.0,0.0,,SCT,2700.0,825.4485893008306,833.75
SGU,2023-03-07 21:56,57.0,13.89,27.0,-2.78,31.43,57.0,8.0,1015.2,0.0,0.0,,CLR,,2057.1879126629024,2083.75
DPG,2023-03-07 22:00,38.0,3.33,24.4,-4.22,57.9,33.4,5.0,1019.7,0.0,0.0,,SCT,4000.0,928.1786513879293,943.75
LGU,2023-03-07 22:51,21.0,-6.11,14.0,-10.0,73.94,16.11,3.0,1025.2,0.0,0.0,,CLR,,570.8541073565469,486.24999999999994
BCE,2023-03-07 22:53,35.0,1.67,21.0,-6.11,56.05,27.37,9.0,1014.2,0.0,0.0,,CLR,,966.320972103103,972.5
OGD,2023-03-07 22:53,35.0,1.67,19.9,-6.72,53.49,30.08,5.0,1020.0,0.0,0.0,,CLR,,1040.666454167675,1048.75
CDC,2023-03-07 22:53,44.0,6.67,26.1,-3.28,48.88,,,1015.2,0.0,0.0,,CLR,,1236.481360875641,1243.75
VEL,2023-03-07 22:53,28.9,-1.72,19.9,-6.72,68.67,28.9,0.0,1021.0,0.0,0.0,,BKN,8000.0,644.4332526926356,625.0
CNY,2023-03-07 22:53,52.0,11.11,21.0,-6.11,29.35,52.0,9.0,1013.8,0.0,0.0,,CLR,,2116.846401197486,2152.5
PUC,2023-03-07 22:53,40.0,4.44,16.0,-8.89,37.44,35.04,6.0,1018.1,0.0,0.0,,FEW,6000.0,1630.8507949194893,1666.2500000000002
SLC,2023-03-07 22:54,40.0,4.44,25.0,-3.89,54.9,34.41,7.0,1018.0,0.0,0.0,,SCT,4100.0,1024.576843960409,1041.25
HIF,2023-03-07 22:55,33.0,0.56,21.6,-5.78,62.27,27.7,5.0,1019.4,0.0,0.0,,CLR,,788.9982231822538,792.5
ENV,2023-03-07 22:56,37.0,2.78,26.1,-3.28,64.38,31.55,6.0,1021.1,0.0,0.0,,CLR,,750.3901133447708,757.5
PVU,2023-03-07 22:56,39.0,3.89,23.0,-5.0,52.3,36.69,3.0,1019.9,0.0,0.0,,CLR,,1097.9230326246316,1111.25
SGU,2023-03-07 22:56,57.0,13.89,28.0,-2.22,32.75,57.0,6.0,1014.8,0.0,0.0,,CLR,,1990.4267099882325,2013.75
LGU,2023-03-07 23:51,21.0,-6.11,14.0,-10.0,73.94,21.0,0.0,1025.1,0.0,0.0,,CLR,,570.854191399671,486.24999999999994
MLF,2023-03-07 23:52,38.0,3.33,25.0,-3.89,59.36,33.4,5.0,1016.7,0.0,0.0,,CLR,,887.5878677267626,902.5000000000001
BCE,2023-03-07 23:53,34.0,1.11,16.0,-8.89,47.25,28.77,5.0,1014.8,0.0,0.0,,CLR,,1229.3369498885777,1250.0
CDC,2023-03-07 23:53,45.0,7.22,23.0,-5.0,41.5,40.63,7.0,1014.7,0.0,0.0,,CLR,,1507.5322067764644,1527.4999999999998
VEL,2023-03-07 23:53,28.9,-1.72,23.0,-5.0,78.3,28.9,0.0,1021.3,0.0,0.0,,OVC,8000.0,433.3318255634208,410.00000000000006
CNY,2023-03-07 23:53,51.0,10.56,21.0,-6.11,30.34,51.1,11.0,1014.0,0.0,0.0,,CLR,,2055.053142376598,2083.75
OGD,2023-03-07 23:53,33.0,0.56,19.9,-6.72,57.93,27.7,5.0,1020.0,0.0,0.0,,CLR,,904.3811828225724,909.9999999999999
PUC,2023-03-07 23:53,40.0,4.44,15.1,-9.39,36.01,34.41,7.0,1017.8,0.0,0.0,,CLR,,1690.6503109096143,1728.7500000000002
SLC,2023-03-07 23:54,40.0,4.44,25.0,-3.89,54.9,34.41,7.0,1017.7,0.0,0.0,,FEW,4000.0,1024.5776285797658,1041.25
HIF,2023-03-07 23:55,32.5,0.28,21.0,-6.11,62.19,26.13,6.0,1019.5,0.0,0.0,,CLR,,789.0460344626182,798.7500000000001
ENV,2023-03-07 23:56,32.0,0.0,28.9,-1.72,88.17,25.53,6.0,1021.5,0.0,0.0,,FEW,1300.0,214.48061103576416,215.0
PVU,2023-03-07 23:56,39.0,3.89,19.0,-7.22,44.14,36.69,3.0,1019.6,0.0,0.0,,CLR,,1367.6166165787974,1388.75
SGU,2023-03-07 23:56,57.0,13.89,27.0,-2.78,31.43,57.0,5.0,1014.2,0.0,0.0,,CLR,,2057.193631061048,2083.75
DPG,2023-03-07 23:58,38.5,3.61,22.5,-5.28,52.22,35.01,4.0,1019.0,0.0,0.0,,SCT,4000.0,1097.6329770255784,1111.25
LGU,2023-03-08 00:51,21.0,-6.11,14.0,-10.0,73.94,21.0,0.0,1025.2,0.0,0.0,,CLR,,570.8541073565469,486.24999999999994
MLF,2023-03-08 00:52,37.0,2.78,26.1,-3.28,64.38,29.24,10.0,1016.5,0.0,0.0,,CLR,,750.3992928319466,757.5
BCE,2023-03-08 00:53,28.9,-1.72,12.9,-10.61,50.7,21.0,7.0,1015.3,0.0,0.0,,CLR,,1117.0553281859898,1111.2499999999998
CDC,2023-03-08 00:53,43.0,6.11,21.9,-5.61,42.77,36.0,12.0,1014.5,0.0,0.0,,CLR,,1445.0396183899165,1465.0
VEL,2023-03-08 00:53,27.0,-2.78,21.0,-6.11,77.8,21.58,4.0,1021.7,0.0,0.0,,BKN,7500.0,455.92510301847733,416.25000000000006
CNY,2023-03-08 00:53,48.0,8.89,21.0,-6.11,34.05,43.82,8.0,1014.1,0.0,0.0,,CLR,,1845.8324818529843,1875.0
OGD,2023-03-08 00:53,30.9,-0.61,19.9,-6.72,63.31,24.21,6.0,1020.2,0.0,0.0,,CLR,,763.8450322180616,763.7499999999999
PUC,2023-03-08 00:53,38.0,3.33,14.0,-10.0,37.1,35.43,3.0,1017.7,0.0,0.0,,CLR,,1628.9776903672885,1666.25
SLC,2023-03-08 00:54,38.0,3.33,24.1,-4.39,57.18,31.38,8.0,1018.9,0.0,0.0,,FEW,5000.0,948.5218360064549,965.0
HIF,2023-03-08 00:55,30.4,-0.89,20.7,-6.28,66.84,23.6,6.0,1019.5,0.0,0.0,,CLR,,679.7395216387573,673.7500000000001
ENV,2023-03-08 00:56,34.0,1.11,28.0,-2.22,78.43,29.76,4.0,1020.8,0.0,0.0,,CLR,,414.0438805125648,416.25
PVU,2023-03-08 00:56,36.0,2.22,23.0,-5.0,58.85,32.09,4.0,1019.7,0.0,0.0,,SCT,6000.0,892.6557161846486,902.5000000000001
SGU,2023-03-08 00:56,56.0,13.33,28.0,-2.22,34.08,55.9,8.0,1014.2,0.0,0.0,,CLR,,1916.2193806156797,1943.75
LGU,2023-03-08 01:51,17.1,-8.28,10.9,-11.72,76.2,17.1,0.0,1026.0,0.0,0.0,,CLR,,545.8882246120627,430.00000000000017
MLF,2023-03-08 01:52,32.0,0.0,26.1,-3.28,78.58,23.51,9.0,1017.4,0.0,0.0,,CLR,,406.8095400105626,410.0
BCE,2023-03-08 01:53,21.9,-5.61,10.9,-11.72,62.07,21.9,0.0,1016.1,0.0,0.0,,CLR,,833.1788701929675,763.75
OGD,2023-03-08 01:53,28.0,-2.22,19.0,-7.22,68.57,24.12,3.0,1020.7,0.0,0.0,,CLR,,651.4819715606754,625.0
CDC,2023-03-08 01:53,37.0,2.78,24.1,-4.39,59.24,31.55,6.0,1015.6,0.0,0.0,,CLR,,886.4723510786345,896.25
PUC,2023-03-08 01:53,30.9,-0.61,15.1,-9.39,51.47,22.76,8.0,1019.3,0.0,0.0,,CLR,,1088.436286458728,1097.5000000000002
VEL,2023-03-08 01:53,25.0,-3.89,23.0,-5.0,91.97,20.69,3.0,1022.4,0.0,0.0,,OVC,7500.0,199.61460520901443,138.74999999999997
CNY,2023-03-08 01:53,42.0,5.56,21.9,-5.61,44.27,38.39,5.0,1015.0,0.0,0.0,,CLR,,1383.2934000907997,1396.25
SLC,2023-03-08 01:54,35.0,1.67,26.1,-3.28,69.41,28.56,7.0,1019.3,0.0,0.0,,FEW,7500.0,619.5327085110202,618.7499999999999
HIF,2023-03-08 01:55,28.6,-1.89,19.9,-6.72,69.52,21.44,6.0,1019.9,0.0,0.0,,CLR,,626.4749152264299,603.75
ENV,2023-03-08 01:56,33.0,0.56,27.0,-2.78,78.03,28.7,4.0,1020.8,0.0,0.0,,CLR,,420.4414319525537,417.5
SGU,2023-03-08 01:56,52.0,11.11,30.0,-1.11,42.65,52.0,8.0,1014.6,0.0,0.0,,CLR,,1514.4808495807647,1527.4999999999998
PVU,2023-03-08 01:56,35.0,1.67,23.0,-5.0,60.99,30.08,5.0,1019.8,0.0,0.0,,CLR,,830.6381515389298,833.75
LGU,2023-03-08 02:51,12.9,-10.61,10.9,-11.72,91.52,12.9,0.0,1026.6,0.0,0.0,,CLR,,294.195778993787,138.75000000000014
BCE,2023-03-08 02:53,14.0,-10.0,7.0,-13.89,73.19,6.4,4.0,1019.5,0.0,0.0,,CLR,,621.6603060343873,486.25000000000006
OGD,2023-03-08 02:53,26.1,-3.28,17.1,-8.28,68.34,19.39,5.0,1021.1,0.0,0.0,,CLR,,666.5650761680706,625.0
CDC,2023-03-08 02:53,35.0,1.67,23.0,-5.0,60.99,31.04,4.0,1016.1,0.0,0.0,,CLR,,830.6453105810068,833.75
PUC,2023-03-08 02:53,30.0,-1.11,16.0,-8.89,55.52,21.03,9.0,1019.2,0.0,0.0,,CLR,,973.9839572649216,972.5
VEL,2023-03-08 02:53,23.0,-5.0,21.9,-5.61,95.47,16.91,4.0,1022.9,0.0,0.0,,SCT,7000.0,154.7029224311657,76.25000000000004
CNY,2023-03-08 02:53,38.0,3.33,19.9,-6.72,47.89,37.9,0.0,1015.5,0.0,0.0,,CLR,,1232.670069710272,1256.25
SLC,2023-03-08 02:54,35.0,1.67,27.0,-2.78,72.04,27.93,8.0,1019.4,0.0,0.0,,FEW,7000.0,558.0440324572141,556.2499999999999
HIF,2023-03-08 02:55,27.5,-2.5,19.4,-7.0,71.2,23.54,3.0,1020.2,0.0,0.0,,FEW,17000.0,594.4846023396818,562.5
ENV,2023-03-08 02:56,32.0,0.0,28.9,-1.72,88.17,24.11,8.0,1021.0,0.0,0.0,,BKN,3500.0,214.48092978770447,215.0
PVU,2023-03-08 02:56,35.0,1.67,24.1,-4.39,63.86,32.23,3.0,1020.0,0.0,0.0,,CLR,,756.0493167494902,757.5
SGU,2023-03-08 02:56,49.0,9.44,28.9,-1.72,45.75,46.47,5.0,1015.2,0.0,0.0,,CLR,,1377.1578694622874,1395.0
LGU,2023-03-08 03:51,14.0,-10.0,10.9,-11.72,87.2,14.0,0.0,1026.4,0.0,0.0,,CLR,,360.1897823280916,215.00000000000009
BCE,2023-03-08 03:53,10.9,-11.72,7.0,-13.89,83.93,1.34,5.0,1019.3,0.0,0.0,,CLR,,435.86365396898424,271.25
